[2026-07-02 00:26:21] Tamaño de buffer: 3145728
[2026-07-02 00:26:21] Esperando conexion
[2026-07-02 00:26:24] Buffer de recepcion del kernel: 131072 bytes
[2026-07-02 00:26:24] Conexion establecida
[2026-07-02 00:26:24] Recibiendo cantidad de bytes del mensaje a leer
[2026-07-02 00:26:24] Cantidad de bytes del mensaje: 3145728
[2026-07-02 00:26:24] Confirmando recepcion al proceso cliente
[2026-07-02 00:26:24] Iniciando 15 segundos de delay
[2026-07-02 00:26:39] Leyendo mensaje en Buffer
[2026-07-02 00:26:39] Leídos 90904 bytes (acumulado: 90904)
[2026-07-02 00:26:39] Leídos 14480 bytes (acumulado: 105384)
[2026-07-02 00:26:39] Leídos 7560 bytes (acumulado: 112944)
[2026-07-02 00:26:39] Leídos 243264 bytes (acumulado: 356208)
[2026-07-02 00:26:39] Leídos 519832 bytes (acumulado: 876040)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 968712)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1061384)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1154056)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1246728)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1339400)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1432072)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1524744)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1617416)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1710088)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1802760)
[2026-07-02 00:26:39] Leídos 75296 bytes (acumulado: 1878056)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 1970728)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 2063400)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 2156072)
[2026-07-02 00:26:39] Leídos 39096 bytes (acumulado: 2195168)
[2026-07-02 00:26:39] Leídos 39096 bytes (acumulado: 2234264)
[2026-07-02 00:26:39] Leídos 44888 bytes (acumulado: 2279152)
[2026-07-02 00:26:39] Leídos 50680 bytes (acumulado: 2329832)
[2026-07-02 00:26:39] Leídos 92672 bytes (acumulado: 2422504)
[2026-07-02 00:26:39] Leídos 13032 bytes (acumulado: 2435536)
[2026-07-02 00:26:39] ERROR leyendo del socket: Connection reset by peer
[2026-07-02 00:26:39] Solo se recibieron 2435536 bytes de 3145728 esperados
